  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  ------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4             0           0  0.00000000  {}
  5             0           0  0.00000000  {}
  6             0           0  0.00000000  {}
  7           256          32  8.00000000  {8: 32}
  8         51008        6376  8.00000000  {8: 6376}
  9        412352       51544  8.00000000  {8: 51544}
 10       9142528     1142816  8.00000000  {8: 1142816}
